Summary,Issue Type,Priority,Story Points,Description,Labels,Epic Name,Epic Link
"Güvenlik ve Veri İzolasyonu",Epic,Highest,,"Epic kapsamı: tenant modeli, veri sahipliği ve RLS politikalarının güvenli hale getirilmesi.","import-jira,epic,security","Güvenlik ve Veri İzolasyonu",
"Atomic İşlemler ve Veri Tutarlılığı",Epic,Highest,,"Epic kapsamı: çok adımlı yazımların atomik hale getirilmesi ve rollback güvenilirliğinin artırılması.","import-jira,epic,data-integrity","Atomic İşlemler ve Veri Tutarlılığı",
"Finansal Model Tutarlılığı",Epic,Highest,,"Epic kapsamı: gider, hesap hareketleri, fiyat motoru ve finans modellerinin aynı iş kuralına bağlanması.","import-jira,epic,finance","Finansal Model Tutarlılığı",
"Audit Log ve İzlenebilirlik",Epic,High,,"Epic kapsamı: kritik veritabanı yazımlarında audit log kapsamının tamamlanması ve logger altyapısının iyileştirilmesi.","import-jira,epic,audit","Audit Log ve İzlenebilirlik",
"Kod Kalitesi ve Stabilizasyon",Epic,High,,"Epic kapsamı: lint baseline, typing, mutation ve erişilebilirlik sorunlarının azaltılması.","import-jira,epic,quality","Kod Kalitesi ve Stabilizasyon",
"Domain Refactor ve Modülerleşme",Epic,Medium,,"Epic kapsamı: büyük sayfaların servis ve hook katmanına bölünmesi ve domain servislerinin oluşturulması.","import-jira,epic,architecture","Domain Refactor ve Modülerleşme",
"Dokümantasyon ve Operasyonel Olgunluk",Epic,Medium,,"Epic kapsamı: README, migration standardı ve minimal test katmanının oluşturulması.","import-jira,epic,operations","Dokümantasyon ve Operasyonel Olgunluk",
"[SEC-101] Tenant modelini netleştir ve veri sahipliğini tanımla",Story,Highest,3,"Sistemin tek işletmeli mi multi-tenant mı olduğunu netleştir; veri sahipliği modelini tanımla.

Affected Areas:
- rls_policy.sql
- tüm ana tablolar

Dependencies:
- Yok

Acceptance Criteria:
- Sistemin tenancy modeli yazılı olarak netleşir
- Tenant alanı gereken tablolar listelenir
- RLS tasarımı için temel hazır olur","import-jira,security,sec-101",,"Güvenlik ve Veri İzolasyonu"
"[SEC-102] Supabase RLS politikalarını tenant bazlı yeniden tasarla",Story,Highest,8,"Mevcut authenticated bazlı politikaları tenant bazlı güvenli hale getir.

Affected Areas:
- rls_policy.sql
- materials
- products
- sales
- expenses
- accounts
- account_movements
- suppliers
- supplier_transactions
- stock_movements
- investments
- investment_transactions
- activity_logs
- settings

Dependencies:
- SEC-101

Acceptance Criteria:
- Kullanıcı yalnızca kendi tenant verisini okuyup yazabilir
- Cross-tenant erişim engellenir
- İki kullanıcıyla doğrulanır","import-jira,security,sec-102",,"Güvenlik ve Veri İzolasyonu"
"[DATA-201] Fiş yükleme akışını atomic server-side işleme taşı",Story,Highest,13,"Fiş yükleme sırasında supplier, stock, material ve cari yazımlarını tek atomik akışa taşı.

Affected Areas:
- src/app/dashboard/hammaddeler/fis-yukle/page.tsx

Dependencies:
- SEC-102 (önerilir)

Acceptance Criteria:
- Bir adım hata verirse hiçbir kalıcı yazım oluşmaz
- Stok ve cari tutarlı kalır
- Kullanıcı anlamlı hata görür","import-jira,data-integrity,data-201",,"Atomic İşlemler ve Veri Tutarlılığı"
