Issue Key,Epic,Title,Priority,Type,Estimate (SP),Status,Description,Affected Areas,Dependencies,Acceptance Criteria
SEC-101,Güvenlik ve Veri İzolasyonu,Tenant modelini netleştir ve veri sahipliğini tanımla,Blocker,Story,3,Todo,"Sistemin tek işletmeli mi multi-tenant mı olduğunu netleştir; veri sahipliği modelini tanımla","rls_policy.sql; tüm ana tablolar","Yok","Sistemin tenancy modeli yazılı olarak netleşir; tenant alanı gereken tablolar listelenir; RLS tasarımı için temel hazır olur"
SEC-102,Güvenlik ve Veri İzolasyonu,Supabase RLS politikalarını tenant bazlı yeniden tasarla,Blocker,Story,8,Todo,"Mevcut authenticated bazlı politikaları tenant bazlı güvenli hale getir","rls_policy.sql; materials; products; sales; expenses; accounts; account_movements; suppliers; supplier_transactions; stock_movements; investments; investment_transactions; activity_logs; settings","SEC-101","Kullanıcı yalnızca kendi tenant verisini okuyup yazabilir; cross-tenant erişim engellenir; iki kullanıcıyla doğrulanır"
DATA-201,Atomic İşlemler ve Veri Tutarlılığı,Fiş yükleme akışını atomic server-side işleme taşı,Blocker,Story,13,Todo,"Fiş yükleme sırasında supplier, stock, material ve cari yazımlarını tek atomik akışa taşı","src/app/dashboard/hammaddeler/fis-yukle/page.tsx","SEC-102 (önerilir)","Bir adım hata verirse hiçbir kalıcı yazım oluşmaz; stok ve cari tutarlı kalır; kullanıcı anlamlı hata görür"
DATA-202,Atomic İşlemler ve Veri Tutarlılığı,Z-raporu silme akışını transaction-safe hale getir,High,Story,5,Todo,"Z-raporu silme sırasında rollback adımlarını güvenli ve atomik hale getir","src/app/api/delete-z-report/route.ts","Yok","Stok, satış, gider ve hesap hareketleri tutarlı rollback olur; yarım silme olmaz; tekrar silme kontrollü yönetilir"
DATA-203,Atomic İşlemler ve Veri Tutarlılığı,Tedarikçi fişi silme akışını transaction-safe hale getir,High,Story,5,Todo,"Fiş silme sırasında stok ve cari geri alma adımlarını güvenli hale getir","src/app/api/delete-receipt/route.ts","Yok","Batch bazlı silmede stok ve tedarikçi bakiyesi tutarlı kalır; tüm alt adımlar hata kontrollü olur"
DATA-204,Atomic İşlemler ve Veri Tutarlılığı,Tedarikçi ödeme akışını atomic hale getir,High,Story,8,Todo,"Tedarikçi ödeme ve silme akışlarında cari ve finans hareketlerini tek güvenli akışa al","src/app/dashboard/tedarikciler/page.tsx","DATA-203 (faydalı)","Ödeme ekleme/silme sonrası supplier_transactions, suppliers, account_movements ve accounts aynı gerçeği gösterir"
DATA-205,Atomic İşlemler ve Veri Tutarlılığı,Yatırım alım ve silme akışlarını atomic hale getir,High,Story,8,Todo,"Yatırım alımı ve geçmiş silme akışlarında finans ve yatırım kayıtlarını tek güvenli modele geçir","src/app/dashboard/yatirimlar/page.tsx; src/app/dashboard/raporlar/yatirim-gecmisi/page.tsx","Yok","Yatırım alımı tek işlem gibi çalışır; hesap bakiyesi ve yatırım geçmişi ayrışmaz; çoklu hareketler doğru ele alınır"
DATA-206,Atomic İşlemler ve Veri Tutarlılığı,Stok giriş çıkış ve sayım akışlarını güvenli hale getir,High,Story,8,Todo,"Stok hareketleri ile stok miktarı güncellemelerini güvenli ve kurallı hale getir","src/app/dashboard/stok/page.tsx","Yok","Negatif stok davranışı netleşir; hareket geçmişi ve stok miktarı tutarlı olur; sayım düzeltmesi izlenebilir hale gelir"
FIN-301,Finansal Model Tutarlılığı,Gider kayıtlarını hesap hareketleriyle entegre et,Blocker,Story,8,Todo,"Expenses kayıtlarını accounts ve account_movements modeliyle hizala","src/app/dashboard/giderler/page.tsx; src/app/dashboard/finans/page.tsx; src/app/dashboard/kasa/sayim/page.tsx","DATA-204 ile birlikte planlanabilir","Gider eklendiğinde ilgili hesap hareketi oluşur; silinince bakiye geri alınır; finans ve gider ekranı aynı veriyi gösterir"
FIN-302,Finansal Model Tutarlılığı,Gider period değerlerini standardize et,High,Story,3,Todo,"Daily, Günlük, tek_seferlik, monthly, yearly gibi değerleri tek enum setine indir","src/app/dashboard/giderler/page.tsx; src/app/dashboard/raporlar/page.tsx; src/app/dashboard/fiyat-motoru/page.tsx","FIN-301","Tüm modüller aynı period değerlerini kullanır; rapor ve fiyat motoru aynı normalizasyon mantığına geçer"
FIN-303,Finansal Model Tutarlılığı,Fiyat motorundaki hesaplama ve ayar mantığını hizala,High,Story,5,Todo,"Fiyat motorunda targetMargin ve günlük gider hesabını tek doğruluk kaynağına bağla; ekran açılışındaki write side-effect’leri kaldır","src/app/dashboard/fiyat-motoru/page.tsx","FIN-302","Hesap ve gösterim aynı ayarlardan beslenir; ekran açılması otomatik DB write üretmez; günlük gider hesabı tek formüle bağlanır"
AUD-401,Audit Log ve İzlenebilirlik,Kritik write akışlarında eksik audit logları tamamla,High,Story,8,Todo,"Kritik insert update delete akışlarında eksik logActivity çağrılarını tamamla","hammaddeler/fis-yukle; stok; urunler; yari-mamuller; tedarikciler; fiyat-motoru; delete-z-report; delete-receipt","DATA-201; DATA-202; DATA-203; DATA-204; DATA-205; DATA-206","Kritik write işlemlerinin tamamı loglanır; loglar işlemle eşlenebilir ve izlenebilir olur"
AUD-402,Audit Log ve İzlenebilirlik,logActivity altyapısını sadeleştir ve tip güvenli hale getir,High,Story,3,Todo,"Logger içinde any kullanımını ve dış IP servisi bağımlılığını azalt","src/lib/logger.ts","Yok","Any kaldırılır; IP toplama opsiyonel veya daha güvenli hale gelir; log çağrısı gereksiz ağ bağımlılığı oluşturmaz"
QUAL-501,Kod Kalitesi ve Stabilizasyon,Uygulama kodu için lint baseline oluştur,High,Story,8,Todo,"App kodundaki kritik lint error’ları azalt ve yönetilebilir baseline oluştur","src/app/dashboard/raporlar/z-raporu/page.tsx; src/app/dashboard/yatirimlar/page.tsx; src/lib/logger.ts; src/components/NotificationProvider.tsx","Yok","Kritik lint error sayısı ciddi şekilde düşer; yeni kod aynı seviyede hata üretmez; lint raporu yönetilebilir olur"
QUAL-502,Kod Kalitesi ve Stabilizasyon,scripts klasörü için ayrı lint stratejisi belirle,Medium,Task,3,Todo,"Scripts klasöründeki CommonJS dosyaları için ayrı lint yaklaşımı belirle","scripts/**","Yok","Scripts kaynaklı gereksiz lint kırılmaları önlenir; ignore, override veya ESM kararı netleşir"
